100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115
120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120
125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125
130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130
135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135
140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140
145	145	145	145	0	0	0	0	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145
150	150	150	150	0	0	0	0	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
155	155	155	155	0	0	0	0	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155
160	160	160	160	0	0	0	0	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160
165	165	165	165	0	0	0	0	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165	165
170	170	170	170	0	0	0	0	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170
175	175	175	175	0	0	0	0	175	175	175	175	175	175	175	175	175	175	175	175	175	175	175	175	175	175	175	175
180	180	180	180	0	0	0	0	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180
185	185	185	185	0	0	0	0	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185
190	190	190	190	0	0	0	0	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190
195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195
200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200
205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205
210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210
215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215
220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220
225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225
230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230
235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235
240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245
